age,job,marital,education,default,balance,housing,day,month,duration,loan
27,technician,single,tertiary,no,3706,yes,16,may,897,no
54,management,single,tertiary,no,4393,yes,16,may,1297,no
30,technician,single,secondary,no,863,yes,16,may,1193,no
34,blue-collar,married,primary,no,695,yes,16,may,1064,yes
37,management,single,secondary,no,792,yes,16,may,1187,no
41,admin.,single,secondary,no,1020,yes,19,may,882,no
47,blue-collar,married,secondary,no,863,yes,19,may,943,no
31,admin.,married,secondary,no,97,yes,19,may,607,no
31,blue-collar,married,secondary,no,754,yes,19,may,1022,no
43,services,divorced,secondary,no,1040,yes,19,may,552,no
37,management,divorced,tertiary,no,122,yes,19,may,1622,no
30,technician,single,tertiary,no,880,yes,19,may,967,yes
41,technician,married,secondary,no,501,yes,19,may,579,no
36,blue-collar,married,secondary,no,4438,yes,20,may,446,no
35,blue-collar,divorced,secondary,no,0,yes,20,may,1205,no
29,services,single,secondary,no,271,yes,20,may,1882,no
35,blue-collar,married,primary,no,102,yes,20,may,1334,no
31,blue-collar,married,secondary,no,2,yes,20,may,182,no
35,services,married,secondary,no,4170,yes,20,may,1777,no
34,technician,single,secondary,no,85,yes,20,may,1182,no
31,admin.,single,secondary,no,431,yes,20,may,1045,yes
44,technician,divorced,secondary,no,982,yes,20,may,650,no
36,blue-collar,married,primary,no,408,yes,20,may,1063,yes
35,blue-collar,married,unknown,no,4822,yes,20,may,843,no
41,blue-collar,married,primary,no,1250,yes,20,may,1392,no
31,blue-collar,single,primary,no,216,yes,21,may,565,no
34,blue-collar,married,secondary,no,1207,yes,21,may,905,no
32,technician,married,secondary,no,791,yes,21,may,783,no
36,management,married,tertiary,no,849,yes,21,may,958,yes
30,blue-collar,single,secondary,yes,239,yes,21,may,412,no
37,technician,single,secondary,no,1211,yes,21,may,795,no
36,blue-collar,married,primary,no,599,yes,21,may,649,no
31,management,single,tertiary,no,825,yes,21,may,506,no
27,technician,married,secondary,no,2183,yes,21,may,857,yes
34,retired,married,primary,no,4499,no,21,may,1681,no
30,technician,single,tertiary,no,1289,yes,21,may,1697,no
32,technician,single,tertiary,no,4665,yes,21,may,860,no
37,technician,single,secondary,no,3326,yes,21,may,799,no
32,blue-collar,married,secondary,no,783,yes,21,may,923,no
33,blue-collar,married,secondary,no,0,yes,21,may,521,no
35,blue-collar,married,primary,no,994,yes,23,may,1349,no
35,self-employed,divorced,tertiary,no,1354,yes,23,may,736,no
30,blue-collar,single,secondary,no,239,yes,23,may,785,no
45,blue-collar,divorced,primary,no,-311,yes,23,may,1030,no
45,admin.,married,secondary,no,149,yes,23,may,893,no
33,blue-collar,married,secondary,no,1464,yes,23,may,588,no
44,management,divorced,tertiary,no,5773,no,23,may,597,no
40,blue-collar,married,primary,no,278,yes,23,may,1015,no
31,blue-collar,married,secondary,no,2910,yes,23,may,1392,no
30,technician,married,tertiary,no,541,yes,26,may,414,no
44,technician,divorced,secondary,no,1262,yes,26,may,788,no
34,services,married,secondary,no,-538,yes,26,may,682,no
37,blue-collar,married,secondary,no,125,no,26,may,679,no
28,self-employed,single,tertiary,no,0,yes,26,may,1560,no
32,admin.,single,secondary,no,620,yes,26,may,1234,no
37,blue-collar,divorced,secondary,no,316,yes,26,may,642,no
34,management,married,tertiary,no,2287,yes,26,may,895,no
38,admin.,divorced,secondary,no,198,yes,26,may,431,no
28,admin.,single,secondary,no,460,yes,26,may,741,no
31,management,divorced,tertiary,no,1145,yes,26,may,1272,no
59,services,married,secondary,no,-22,yes,26,may,748,no
24,blue-collar,married,secondary,no,685,yes,26,may,896,no
26,services,single,secondary,no,901,yes,26,may,764,no
59,retired,single,secondary,no,351,yes,27,may,1063,no
30,entrepreneur,single,primary,no,0,yes,27,may,1051,yes
37,admin.,married,secondary,no,274,yes,27,may,731,no
30,admin.,single,secondary,no,-213,yes,27,may,751,yes
25,blue-collar,married,secondary,no,97,yes,27,may,709,no
44,services,divorced,secondary,no,51,yes,27,may,3094,yes
29,management,married,tertiary,no,314,no,28,may,938,no
26,management,single,tertiary,no,6840,yes,28,may,1560,no
26,technician,single,secondary,no,668,yes,28,may,576,no
27,services,single,secondary,no,54,yes,28,may,543,no
25,self-employed,single,secondary,no,1242,yes,28,may,615,no
28,management,married,secondary,no,292,yes,28,may,507,no
23,services,single,secondary,no,665,yes,28,may,1183,no
34,management,single,tertiary,no,1058,yes,28,may,864,no
28,student,single,secondary,no,949,yes,28,may,1730,no
51,entrepreneur,married,unknown,no,606,yes,28,may,560,no
35,blue-collar,married,secondary,no,0,yes,29,may,543,yes
35,admin.,married,secondary,no,404,yes,29,may,539,no
56,blue-collar,married,secondary,no,249,yes,29,may,791,no
45,unemployed,divorced,secondary,no,3354,yes,29,may,746,no
60,blue-collar,divorced,secondary,no,0,yes,29,may,1207,no
56,technician,married,secondary,no,589,yes,29,may,535,no
27,management,single,tertiary,no,12956,yes,29,may,789,no
30,admin.,married,secondary,no,873,yes,29,may,792,no
45,blue-collar,divorced,primary,no,594,yes,29,may,833,no
29,blue-collar,single,secondary,no,-20,yes,29,may,814,no
38,management,divorced,tertiary,no,4692,yes,29,may,1363,no
30,blue-collar,married,secondary,no,486,yes,29,may,1109,no
44,blue-collar,single,primary,no,1593,yes,29,may,828,no
36,management,single,tertiary,no,7606,yes,30,may,917,no
38,technician,married,secondary,no,226,yes,30,may,762,no
36,blue-collar,single,secondary,no,366,yes,30,may,1133,yes
37,management,divorced,secondary,no,16,yes,30,may,638,no
35,management,single,tertiary,no,565,yes,30,may,763,no
38,admin.,divorced,secondary,no,19,yes,30,may,604,no
40,services,married,primary,no,1082,yes,30,may,854,no
42,unemployed,divorced,secondary,no,1713,yes,30,may,855,no
46,management,divorced,tertiary,no,14481,yes,30,may,1269,no
35,technician,divorced,secondary,no,5724,yes,30,may,691,no
34,technician,divorced,secondary,no,1451,yes,30,may,1097,no
32,services,married,secondary,no,-34,yes,30,may,1236,no
50,unemployed,married,secondary,no,3674,yes,30,may,886,no
35,blue-collar,married,secondary,no,698,yes,30,may,1343,yes
36,technician,single,secondary,no,4136,yes,30,may,812,no
53,blue-collar,divorced,primary,no,2656,yes,30,may,1980,no
46,management,single,tertiary,no,2904,yes,30,may,984,no
26,management,single,tertiary,no,1004,yes,30,may,228,no
45,technician,single,secondary,no,410,yes,30,may,891,no
31,unemployed,divorced,primary,no,0,yes,30,may,745,no
29,management,single,tertiary,no,0,yes,30,may,539,no
53,entrepreneur,single,secondary,no,62,yes,30,may,1044,no
27,blue-collar,married,primary,no,416,yes,30,may,1193,no
39,management,married,tertiary,no,2763,yes,2,jun,526,no
36,services,married,secondary,no,2984,yes,2,jun,394,no
41,blue-collar,married,primary,no,143,yes,2,jun,659,yes
36,services,married,primary,no,0,yes,2,jun,1036,no
32,technician,married,secondary,no,696,yes,2,jun,815,no
35,services,married,secondary,no,152,yes,2,jun,563,no
36,management,single,tertiary,no,-78,yes,2,jun,1068,no
35,management,married,tertiary,no,867,yes,2,jun,230,no
30,blue-collar,single,secondary,no,953,yes,2,jun,747,no
42,blue-collar,married,secondary,no,443,yes,2,jun,671,no
42,technician,single,secondary,yes,-1129,yes,2,jun,555,no
32,blue-collar,married,primary,no,415,yes,2,jun,777,no
29,blue-collar,single,secondary,no,260,yes,2,jun,707,no
44,management,divorced,tertiary,yes,-411,yes,2,jun,432,no
32,technician,single,secondary,no,1279,yes,3,jun,1173,no
31,unemployed,married,secondary,no,86,yes,3,jun,963,yes
40,self-employed,married,secondary,yes,-754,yes,3,jun,941,yes
43,entrepreneur,married,secondary,no,0,no,3,jun,1025,no
27,management,single,secondary,no,178,yes,3,jun,732,no
37,services,single,secondary,no,278,yes,3,jun,1045,no
23,services,single,secondary,no,425,yes,3,jun,768,no
25,management,married,primary,no,168,yes,3,jun,801,no
26,blue-collar,single,secondary,yes,-36,yes,3,jun,482,no
47,blue-collar,divorced,primary,no,126,yes,3,jun,2456,no
35,admin.,married,secondary,no,-87,yes,3,jun,1363,no
32,technician,single,tertiary,no,6281,yes,3,jun,1336,no
45,management,divorced,secondary,no,644,yes,4,jun,633,no
30,admin.,divorced,secondary,no,377,yes,4,jun,524,no
29,services,single,secondary,no,-271,yes,4,jun,578,no
38,blue-collar,married,primary,no,5839,yes,4,jun,984,no
23,blue-collar,single,secondary,no,492,yes,4,jun,638,no
27,management,single,tertiary,no,99,yes,4,jun,767,no
27,management,single,tertiary,yes,-713,yes,4,jun,525,no
29,services,single,secondary,no,32,yes,4,jun,563,no
30,self-employed,married,tertiary,no,543,yes,4,jun,1449,yes
36,blue-collar,married,primary,no,403,yes,4,jun,920,no
35,admin.,divorced,secondary,no,437,yes,4,jun,908,no
36,blue-collar,married,secondary,no,1772,no,5,jun,208,no
59,retired,divorced,primary,no,-88,yes,5,jun,910,no
47,entrepreneur,married,secondary,no,0,no,5,jun,1446,no
58,entrepreneur,married,tertiary,no,853,no,5,jun,1149,no
37,management,single,tertiary,no,240,no,5,jun,1123,no
46,admin.,single,secondary,no,849,yes,5,jun,508,no
43,blue-collar,single,secondary,no,318,yes,5,jun,736,no
27,management,single,tertiary,no,703,yes,5,jun,590,no
38,services,divorced,secondary,no,61,no,5,jun,636,no
53,housemaid,married,primary,no,104,no,5,jun,701,yes
47,blue-collar,married,secondary,no,1996,no,5,jun,761,no
56,housemaid,divorced,primary,yes,1238,no,5,jun,1558,no
41,housemaid,married,secondary,no,879,no,5,jun,1053,no
29,self-employed,married,secondary,no,425,yes,5,jun,562,no
50,technician,married,secondary,no,416,yes,5,jun,494,no
45,blue-collar,divorced,primary,no,844,no,5,jun,1018,no
35,blue-collar,married,secondary,no,860,yes,5,jun,884,no
26,technician,single,secondary,no,639,yes,6,jun,709,no
26,admin.,married,secondary,no,710,yes,6,jun,1276,yes
37,blue-collar,married,unknown,no,1508,no,6,jun,381,yes
30,admin.,single,secondary,no,223,yes,6,jun,862,no
38,management,single,tertiary,no,619,yes,6,jun,460,no
37,services,divorced,secondary,no,319,yes,6,jun,467,no
53,technician,married,secondary,no,480,no,6,jun,648,no
29,blue-collar,single,primary,no,213,yes,6,jun,2653,no
35,management,single,tertiary,no,68,no,6,jun,1085,no
28,blue-collar,married,secondary,no,2788,yes,6,jun,369,no
55,blue-collar,married,unknown,no,7561,no,6,jun,685,no
49,management,divorced,secondary,no,-46,yes,9,jun,1055,no
50,services,married,secondary,no,1595,no,9,jun,882,no
43,management,single,tertiary,no,1046,no,9,jun,901,no
58,self-employed,divorced,tertiary,no,1382,no,9,jun,700,no
38,technician,married,primary,no,217,yes,9,jun,491,no
48,blue-collar,divorced,primary,no,183,no,9,jun,940,no
59,management,married,secondary,no,1321,no,9,jun,3881,no
58,blue-collar,married,secondary,no,25,no,9,jun,486,no
36,self-employed,single,tertiary,no,4844,no,9,jun,1137,no
42,entrepreneur,married,tertiary,no,5345,no,11,jun,878,no
41,admin.,single,secondary,no,812,no,11,jun,583,yes
42,admin.,married,secondary,no,105,no,11,jun,1159,no
39,management,married,tertiary,no,-190,no,11,jun,893,yes
57,housemaid,married,primary,no,625,no,11,jun,867,yes
52,retired,married,unknown,no,293,no,11,jun,706,no
59,retired,married,unknown,no,1033,no,11,jun,1199,no
56,blue-collar,married,secondary,no,1210,no,11,jun,935,no
49,management,married,tertiary,no,64,no,11,jun,586,no
35,blue-collar,divorced,unknown,no,164,no,11,jun,967,no
36,unemployed,married,secondary,no,1766,no,11,jun,595,no
40,admin.,single,tertiary,no,1248,no,11,jun,1290,no
55,blue-collar,married,secondary,no,0,no,12,jun,614,no
58,admin.,married,secondary,no,826,no,12,jun,885,no
39,self-employed,married,tertiary,no,2630,no,12,jun,651,no
47,housemaid,single,tertiary,no,3727,no,12,jun,993,no
40,management,married,secondary,no,406,yes,12,jun,577,no
35,blue-collar,married,tertiary,no,2999,no,12,jun,1141,no
48,blue-collar,married,secondary,no,1000,yes,12,jun,1268,no
48,management,divorced,tertiary,no,503,no,12,jun,1243,yes
24,blue-collar,single,secondary,yes,-203,yes,12,jun,465,no
49,blue-collar,married,primary,no,361,yes,16,jun,513,no
36,blue-collar,married,secondary,no,274,yes,16,jun,686,no
52,retired,divorced,tertiary,no,3687,yes,16,jun,741,yes
42,entrepreneur,single,unknown,no,323,no,16,jun,617,no
36,services,married,secondary,no,981,no,16,jun,1093,no
36,blue-collar,divorced,secondary,no,638,yes,16,jun,1395,no
48,unemployed,single,tertiary,no,3229,no,16,jun,1089,no
51,management,single,secondary,no,1610,yes,16,jun,1248,no
51,blue-collar,married,secondary,no,33,no,16,jun,721,yes
46,technician,married,secondary,no,536,yes,16,jun,750,no
37,management,married,tertiary,no,0,no,16,jun,637,no
36,entrepreneur,married,tertiary,no,3057,no,16,jun,2769,no
47,management,married,secondary,no,2892,no,17,jun,556,no
40,technician,divorced,tertiary,no,0,no,17,jun,522,no
38,student,single,tertiary,no,3316,no,17,jun,1345,no
40,management,married,secondary,no,106,no,17,jun,676,no
39,blue-collar,married,primary,no,2303,yes,17,jun,775,no
60,management,married,tertiary,no,3301,no,17,jun,2621,no
39,self-employed,single,tertiary,no,426,no,18,jun,1029,no
51,services,divorced,secondary,no,9,no,18,jun,371,no
27,admin.,married,secondary,no,-97,yes,18,jun,1528,no
41,management,single,tertiary,no,11008,no,18,jun,1540,no
42,blue-collar,single,primary,no,4930,no,18,jun,973,no
41,entrepreneur,married,secondary,no,707,no,18,jun,707,no
33,technician,married,secondary,no,4,yes,18,jun,625,yes
46,admin.,married,secondary,no,126,no,18,jun,1255,no
31,blue-collar,married,secondary,no,671,yes,18,jun,704,no
41,blue-collar,married,primary,no,219,no,18,jun,1574,yes
41,blue-collar,divorced,secondary,no,3622,no,19,jun,1135,no
55,retired,divorced,secondary,no,1580,no,19,jun,1007,yes
53,technician,married,secondary,no,1319,no,19,jun,1318,no
55,housemaid,married,primary,no,2152,no,19,jun,922,no
39,services,married,secondary,no,2843,yes,19,jun,585,no
40,entrepreneur,married,tertiary,yes,0,no,19,jun,952,no
59,retired,married,primary,no,1115,no,19,jun,834,no
42,blue-collar,single,secondary,no,625,no,19,jun,651,no
41,blue-collar,married,primary,no,246,no,19,jun,683,no
27,blue-collar,married,secondary,no,61,yes,19,jun,1012,no
25,blue-collar,single,secondary,no,-191,yes,19,jun,958,no
43,unemployed,married,primary,no,519,no,20,jun,973,no
44,services,married,secondary,no,522,no,20,jun,911,yes
26,blue-collar,single,secondary,no,-46,yes,20,jun,382,no
52,retired,married,tertiary,no,2269,no,20,jun,1210,no
54,services,married,unknown,no,386,no,20,jun,838,yes
56,management,married,tertiary,no,0,no,20,jun,422,yes
57,management,married,tertiary,no,9103,no,20,jun,1098,yes
29,blue-collar,single,secondary,no,908,yes,20,jun,1663,no
47,technician,married,tertiary,no,1694,no,20,jun,560,yes
57,management,married,tertiary,no,-92,yes,20,jun,1617,yes
40,blue-collar,married,secondary,no,188,yes,20,jun,570,yes
46,services,divorced,secondary,no,0,no,20,jun,1023,no
43,blue-collar,single,secondary,no,740,yes,20,jun,585,no
45,management,married,tertiary,no,655,no,20,jun,693,no
24,management,married,secondary,no,867,yes,20,jun,546,no
40,blue-collar,married,secondary,no,1009,yes,20,jun,1036,yes
38,services,divorced,unknown,no,6360,no,20,jun,1409,no
36,unemployed,married,tertiary,no,4145,no,20,jun,988,no
27,blue-collar,single,secondary,yes,-27,no,23,jun,498,no
26,admin.,single,primary,no,-122,yes,23,jun,670,no
43,management,married,tertiary,no,149,yes,23,jun,662,no
25,blue-collar,single,primary,no,52,yes,24,jun,528,no
27,blue-collar,married,tertiary,no,335,yes,26,jun,519,no
30,technician,married,tertiary,no,526,yes,26,jun,677,yes
28,admin.,single,secondary,no,-7,no,26,jun,3183,yes
27,blue-collar,married,primary,no,-413,no,27,jun,422,yes
32,admin.,divorced,secondary,no,-241,no,27,jun,856,yes
41,blue-collar,single,secondary,no,75,yes,1,jul,479,no
37,technician,single,tertiary,no,0,no,1,jul,1135,no
27,technician,single,secondary,no,158,no,1,jul,650,no
29,services,single,secondary,no,84,no,3,jul,587,yes
33,services,married,secondary,no,114,no,3,jul,676,yes
36,technician,married,primary,no,0,no,4,jul,584,no
28,blue-collar,single,secondary,no,-127,yes,4,jul,1044,no
55,blue-collar,married,secondary,no,49,yes,7,jul,494,no
51,technician,married,secondary,no,216,no,7,jul,615,no
39,technician,single,secondary,no,506,yes,7,jul,718,no
42,blue-collar,divorced,primary,no,213,yes,7,jul,434,no
33,services,single,secondary,no,170,no,7,jul,782,no
36,entrepreneur,divorced,tertiary,no,776,no,7,jul,722,yes
45,technician,married,secondary,no,879,no,7,jul,621,no
37,self-employed,married,secondary,no,1633,no,7,jul,629,no
46,unemployed,married,secondary,no,926,no,7,jul,385,no
32,self-employed,single,tertiary,no,2559,no,7,jul,889,no
28,technician,single,secondary,no,909,no,7,jul,532,yes
45,admin.,divorced,secondary,no,-176,no,7,jul,574,yes
41,blue-collar,single,secondary,yes,1085,yes,7,jul,599,yes
59,blue-collar,divorced,primary,no,1265,no,7,jul,849,yes
47,technician,single,secondary,no,-239,yes,7,jul,973,yes
31,blue-collar,single,secondary,no,726,no,7,jul,719,no
31,management,single,tertiary,no,296,no,8,jul,509,yes
33,entrepreneur,married,secondary,no,-627,yes,8,jul,740,yes
52,entrepreneur,married,tertiary,yes,-468,no,8,jul,534,no
26,self-employed,single,secondary,no,551,no,8,jul,531,no
25,technician,single,secondary,no,0,no,8,jul,634,yes
25,blue-collar,married,secondary,no,101,no,8,jul,460,yes
28,blue-collar,single,secondary,no,517,no,8,jul,681,yes
33,entrepreneur,divorced,tertiary,no,37,no,8,jul,1082,yes
45,management,divorced,tertiary,no,854,no,8,jul,730,yes
36,services,married,secondary,no,30,no,8,jul,716,yes
26,blue-collar,single,secondary,yes,81,no,8,jul,803,yes
38,technician,married,secondary,no,0,no,8,jul,635,no
56,blue-collar,single,secondary,no,663,no,8,jul,819,yes
26,admin.,single,secondary,no,102,no,8,jul,658,yes
26,technician,married,secondary,no,370,no,8,jul,1061,yes
25,blue-collar,single,secondary,no,189,no,8,jul,687,yes
26,unemployed,single,secondary,no,111,no,9,jul,537,no
40,blue-collar,married,primary,no,665,yes,9,jul,781,no
37,admin.,married,primary,no,214,yes,9,jul,645,no
43,blue-collar,single,primary,no,0,no,9,jul,1242,no
41,services,divorced,tertiary,no,1583,yes,9,jul,662,no
49,blue-collar,married,secondary,no,0,no,9,jul,625,yes
29,admin.,divorced,tertiary,yes,0,no,9,jul,426,yes
39,services,divorced,secondary,no,687,yes,9,jul,869,no
38,management,married,tertiary,yes,327,yes,9,jul,556,yes
26,technician,married,secondary,no,-119,no,9,jul,359,yes
32,management,married,tertiary,no,794,yes,9,jul,1014,yes
33,blue-collar,married,primary,no,-191,yes,9,jul,1290,yes
31,management,single,tertiary,no,409,no,9,jul,564,yes
49,blue-collar,married,primary,no,3,no,9,jul,1439,yes
27,unemployed,single,primary,no,9,no,9,jul,919,yes
30,blue-collar,single,secondary,no,155,yes,9,jul,1426,yes
35,blue-collar,married,secondary,no,1330,no,10,jul,901,no
26,blue-collar,single,secondary,no,-29,yes,10,jul,998,no
45,entrepreneur,married,unknown,no,3133,yes,10,jul,804,yes
34,admin.,married,secondary,no,-33,yes,10,jul,961,yes
28,admin.,single,secondary,no,-170,no,10,jul,720,yes
25,blue-collar,single,secondary,no,1243,no,10,jul,1341,yes
30,blue-collar,single,secondary,no,1598,yes,10,jul,634,no
30,services,married,secondary,no,5,no,10,jul,829,yes
47,services,married,secondary,no,367,yes,10,jul,476,no
57,admin.,divorced,secondary,no,658,no,10,jul,724,no
38,management,married,tertiary,no,1722,yes,10,jul,500,no
54,technician,married,secondary,no,-315,no,10,jul,2029,yes
25,blue-collar,single,primary,no,2483,no,10,jul,1499,no
30,blue-collar,married,secondary,no,0,yes,10,jul,1399,yes
26,management,single,tertiary,no,45,no,10,jul,1187,no
31,student,married,primary,no,46,yes,10,jul,487,no
29,blue-collar,single,secondary,no,482,no,10,jul,1097,yes
49,blue-collar,married,secondary,no,3728,yes,11,jul,1060,no
60,retired,divorced,secondary,no,1099,no,11,jul,764,no
60,management,married,tertiary,no,2222,yes,11,jul,1120,no
29,management,single,tertiary,no,983,yes,11,jul,963,no
55,management,divorced,secondary,no,204,yes,11,jul,1973,no
44,admin.,married,secondary,no,1074,yes,11,jul,911,no
47,technician,married,secondary,no,3466,yes,11,jul,853,no
35,admin.,married,secondary,no,-203,yes,11,jul,1649,no
35,entrepreneur,married,secondary,no,2436,no,14,jul,1397,yes
38,technician,married,secondary,no,976,yes,14,jul,766,no
34,entrepreneur,married,tertiary,no,146,yes,14,jul,788,no
50,technician,married,secondary,no,156,no,14,jul,1130,yes
43,admin.,married,tertiary,no,189,yes,14,jul,1062,no
44,admin.,divorced,secondary,no,163,yes,14,jul,1669,no
51,services,divorced,secondary,no,242,no,14,jul,1336,yes
31,technician,married,secondary,no,1173,yes,14,jul,444,no
39,technician,married,tertiary,no,0,yes,14,jul,894,no
59,management,married,tertiary,no,296,no,15,jul,805,yes
25,services,single,secondary,no,333,no,15,jul,1056,yes
58,management,married,tertiary,no,3864,yes,15,jul,815,no
30,entrepreneur,married,primary,no,2686,yes,15,jul,808,no
34,blue-collar,single,primary,no,-109,yes,15,jul,860,no
51,services,divorced,secondary,no,65,no,15,jul,881,yes
60,retired,married,secondary,no,597,no,15,jul,981,no
51,entrepreneur,married,secondary,no,-799,no,15,jul,1001,yes
37,management,divorced,tertiary,no,1775,no,15,jul,514,no
30,blue-collar,single,primary,no,0,no,15,jul,716,no
46,entrepreneur,divorced,secondary,no,-563,no,15,jul,769,yes
29,student,single,tertiary,no,5,no,15,jul,889,no
27,entrepreneur,married,tertiary,no,139,no,15,jul,448,no
28,management,single,tertiary,no,0,yes,16,jul,767,no
34,blue-collar,single,secondary,no,855,yes,16,jul,578,no
29,blue-collar,single,unknown,no,694,yes,16,jul,1806,yes
27,management,single,tertiary,no,151,yes,16,jul,496,no
26,technician,single,secondary,no,354,no,16,jul,586,no
36,management,married,tertiary,no,673,yes,16,jul,689,no
44,blue-collar,married,primary,no,1265,yes,16,jul,555,no
39,blue-collar,married,tertiary,no,597,no,16,jul,686,no
30,technician,married,secondary,no,-393,yes,16,jul,435,yes
31,unemployed,divorced,tertiary,no,256,yes,16,jul,873,no
56,blue-collar,married,primary,no,0,yes,16,jul,1222,no
29,blue-collar,married,secondary,no,2870,yes,16,jul,988,no
43,blue-collar,married,secondary,no,184,no,16,jul,1019,yes
32,blue-collar,married,secondary,no,1905,yes,16,jul,709,no
30,admin.,single,secondary,no,-36,no,16,jul,561,no
40,blue-collar,married,secondary,no,-839,yes,16,jul,1018,yes
42,services,married,secondary,no,3465,yes,16,jul,1039,yes
27,student,married,secondary,no,119,yes,16,jul,781,no
35,management,married,tertiary,no,36,no,16,jul,1656,yes
35,housemaid,married,primary,no,113,yes,17,jul,923,no
32,blue-collar,single,secondary,no,118,yes,17,jul,1275,no
